地区,2013,2014,2015,2016,2017
Guyana,2987684170,3077643314,3197220339,3504024213,3555205811
High income,4.96E+13,5.07E+13,4.79E+13,4.89E+13,5.10E+13
"Hong Kong SAR, China",2.76E+11,2.91E+11,3.09E+11,3.21E+11,3.42E+11
Honduras,18499710128,19756494435,20979767785,21717622071,23100748922
Heavily indebted poor countries (HIPC),6.39E+11,6.76E+11,6.63E+11,6.80E+11,7.55E+11
Croatia,58056951042,57642879510,49530656285,51596929180,55319620158
Haiti,8485077205,8775444942,8724656126,7970649131,8409497402
Hungary,1.35E+11,1.41E+11,1.25E+11,1.28E+11,1.42E+11
IBRD only,2.65E+13,2.74E+13,2.59E+13,2.60E+13,2.87E+13
IDA & IBRD total,2.85E+13,2.95E+13,2.80E+13,2.81E+13,3.08E+13
IDA total,2.00E+12,2.15E+12,2.11E+12,2.07E+12,2.17E+12
IDA blend,9.94E+11,1.08E+12,1.02E+12,9.50E+11,9.42E+11
Indonesia,9.13E+11,8.91E+11,8.61E+11,9.32E+11,1.02E+12
IDA only,9.93E+11,1.06E+12,1.08E+12,1.11E+12,1.23E+12
Isle of Man,6754330155,7428280402,6792417112,6592627599,6770532819
India,1.86E+12,2.04E+12,2.10E+12,2.29E+12,2.65E+12
Not classified,,,,,
Ireland,2.39E+11,2.58E+11,2.92E+11,3.01E+11,3.35E+11
"Iran, Islamic Rep.",4.67E+11,4.34E+11,3.86E+11,4.19E+11,4.54E+11
Iraq,2.35E+11,2.35E+11,1.77E+11,1.75E+11,1.95E+11
Iceland,16033517529,17758089312,17344165907,20716024757,24489493459
Israel,2.93E+11,3.10E+11,3.00E+11,3.19E+11,3.53E+11
Italy,2.14E+12,2.16E+12,1.84E+12,1.88E+12,1.96E+12
Jamaica,14262589158,13897804560,14187696311,14075894320,14806340821
Jordan,34064873239,36329267606,38043450704,39196676056,40708943662
Japan,5.16E+12,4.85E+12,4.39E+12,4.93E+12,4.86E+12
Kazakhstan,2.37E+11,2.21E+11,1.84E+11,1.37E+11,1.67E+11
Kenya,55096728048,61448046802,64007750179,69188755511,78757391333
Kyrgyz Republic,7335027592,7468096567,6678178340,6813092066,7702934800
Cambodia,15227991395,16702610842,18049954289,20159271965,22180376506
Kiribati,185113921.6,179703443.3,171117872.4,178328873,185572501.5
St. Kitts and Nevis,839774074.1,916566666.7,923155555.6,971166666.7,996944444.4
"Korea, Rep.",1.31E+12,1.41E+12,1.38E+12,1.41E+12,1.53E+12
Kuwait,1.74E+11,1.63E+11,1.15E+11,1.09E+11,1.21E+11
Latin America & Caribbean (excluding high income),5.75E+12,5.88E+12,5.00E+12,4.86E+12,5.41E+12
Lao PDR,11942230508,13268458232,14390442307,15805692546,16853087485
Lebanon,46866579768,48296099502,49973893201,51239050083,53393799668
Liberia,3067000000,3144000000,3177000000,3277826000,3285455000
Libya,65502870174,41142722414,27842131480,26197143268,37881431913
St. Lucia,1483814333,1559072148,1659110889,1701596815,1816728741
Latin America & Caribbean,6.30E+12,6.42E+12,5.52E+12,5.39E+12,5.98E+12
Least developed countries: UN classification,9.01E+11,9.74E+11,9.63E+11,9.73E+11,1.09E+12
Low income,4.97E+11,5.28E+11,5.20E+11,5.09E+11,5.43E+11
Liechtenstein,6391735894,6657170923,6268391521,6214633651,
Sri Lanka,74317806538,79356449841,80604080689,82401038710,88019706804
Lower middle income,5.53E+12,5.83E+12,5.78E+12,6.02E+12,6.52E+12
Low & middle income,2.76E+13,2.87E+13,2.72E+13,2.73E+13,2.99E+13
Lesotho,2533992455,2608269552,2289799040,2314323471,2565352373
Late-demographic dividend,1.90E+13,1.97E+13,1.84E+13,1.84E+13,2.04E+13
Lithuania,46450990764,48485169331,41392396558,43021972485,47632961168
Luxembourg,61739352212,66103853237,57744457955,60691483443,64023412340
Latvia,30276485436,31382780146,27090019663,27734140217,30198231776
"Macao SAR, China",51552075902,55347998648,45361678147,45387299721,50751059058
St. Martin (French part),,,,,
Morocco,1.07E+11,1.10E+11,1.01E+11,1.03E+11,1.10E+11
Monaco,6553372278,7060236168,6258844405,6468694690,6415370746
Moldova,9496684622,9510219299,7745231660,8071480541,9669759987
Madagascar,12423555269,12522957228,11323020829,11848613735,13176313594
Maldives,3295011382,3697351597,4109424800,4379136462,4735989972
Middle East & North Africa,3.55E+12,3.57E+12,3.15E+12,3.15E+12,3.27E+12
Mexico,1.27E+12,1.31E+12,1.17E+12,1.08E+12,1.16E+12
Marshall Islands,187707400,184689500,184599600,200558400,212881000
Middle income,2.71E+13,2.81E+13,2.67E+13,2.68E+13,2.94E+13
North Macedonia,10817712139,11362272838,10064515432,10672471861,11279509014
Mali,13246412031,14345831015,13099497220,14010787738,15337740141
Malta,10154463059,11303729347,10715545899,11452895367,12768671650
Myanmar,60269734045,65446199788,59687410897,63256184700,66719084253
Middle East & North Africa (excluding high income),1.62E+12,1.60E+12,1.44E+12,1.46E+12,1.44E+12
Montenegro,4464261816,4587928884,4052913386,4374128319,4844592067
Mongolia,12582122604,12226514722,11749620620,11186734674,11425755280
Northern Mariana Islands,782000000,845000000,931000000,1250000000,1601000000
Mozambique,16974320551,17716084108,15950969019,11936999283,13219084261
Mauritania,5639818812,5391555434,4828858025,4679346591,4905893855
Mauritius,12129642296,12803445934,11692287066,12232463656,13259351418
Malawi,5518880769,6047813437,6373212641,5433040160,6303292264
Malaysia,3.23E+11,3.38E+11,3.01E+11,3.01E+11,3.19E+11
North America,1.86E+13,1.93E+13,1.98E+13,2.02E+13,2.11E+13
Namibia,12717790505,12786078008,11650656642,11286139080,13566192144
New Caledonia,,,,,
Niger,7667952566,8229731384,7217667781,7528285444,8119710126
Nigeria,5.15E+11,5.68E+11,4.95E+11,4.05E+11,3.76E+11
Nicaragua,10982938826,11880395548,12756706583,13286048705,13843612005
Netherlands,8.77E+11,8.91E+11,7.65E+11,7.84E+11,8.32E+11
Norway,5.23E+11,4.98E+11,3.86E+11,3.69E+11,3.98E+11
Nepal,19271168018,20002968838,21410840909,21185922408,25180583770
Nauru,108634964.6,117009639.2,99966636.16,102052700.5,113884908.4
New Zealand,1.91E+11,2.01E+11,1.77E+11,1.88E+11,2.03E+11
OECD members,4.86E+13,4.96E+13,4.69E+13,4.78E+13,4.98E+13
Oman,78784395319,81076723017,68921456437,65941482445,70597919376
Other small states,4.37E+11,4.49E+11,3.72E+11,3.67E+11,4.06E+11
Pakistan,2.31E+11,2.44E+11,2.71E+11,2.79E+11,3.05E+11
Panama,45600000000,49921500000,54091700000,57957600000,62283800000
Peru,2.01E+11,2.01E+11,1.90E+11,1.92E+11,2.11E+11
Philippines,2.72E+11,2.85E+11,2.93E+11,3.05E+11,3.14E+11
Palau,223388400,243147000,280376100,300125600,286321800
Papua New Guinea,21261432775,23210682537,21723531182,20759069105,22742613549
Poland,5.24E+11,5.45E+11,4.78E+11,4.72E+11,5.26E+11
Pre-demographic dividend,1.44E+12,1.53E+12,1.34E+12,1.24E+12,1.32E+12
Puerto Rico,1.02E+11,1.02E+11,1.03E+11,1.04E+11,1.04E+11
"Korea, Dem. People’s Rep.",,,,,
Portugal,2.26E+11,2.30E+11,1.99E+11,2.06E+11,2.21E+11
Paraguay,38585317743,40276532541,36164068797,36054281572,39008900332
West Bank and Gaza,12476000000,12715600000,12673000000,13425700000,14498100000
Pacific island small states,8401992508,9126129404,8908674905,9315360628,10011104666
Post-demographic dividend,4.60E+13,4.69E+13,4.44E+13,4.54E+13,4.73E+13
French Polynesia,,,,,
Qatar,1.99E+11,2.06E+11,1.62E+11,1.52E+11,1.67E+11
Romania,1.91E+11,2.00E+11,1.78E+11,1.88E+11,2.12E+11
Russia,2.30E+12,2.06E+12,1.36E+12,1.28E+12,1.58E+12
Rwanda,7621924854,8016593394,8277614581,8475622319,9140429058
South Asia,2.36E+12,2.58E+12,2.70E+12,2.92E+12,3.35E+12
Saudi Arabia,7.47E+11,7.56E+11,6.54E+11,6.45E+11,6.89E+11
Sudan,72065940086,82151588419,96741742022,95558220777,1.23E+11
Senegal,18960182371,19770840286,17767704597,19027392876,21081669870
Singapore,3.08E+11,3.15E+11,3.08E+11,3.18E+11,3.38E+11
Solomon Islands,1129787198,1172268301,1154650069,1230459710,1309631135
Sierra Leone,4920343195,5015157816,4218723875,3674794530,3739577973
El Salvador,21991000000,22593000000,23438000000,24154000000,24928000000
San Marino,1865374403,1788510017,1523012088,1564380531,1632860041
Somalia,3892402685,3963532309,4048860871,4198485404,4508845348
Serbia,48394239475,47062206678,39628550869,40630392019,44120424392
Sub-Saharan Africa (excluding high income),1.75E+12,1.83E+12,1.66E+12,1.56E+12,1.69E+12
South Sudan,18426469030,13962212837,11997800751,,
Sub-Saharan Africa,1.75E+12,1.83E+12,1.66E+12,1.56E+12,1.69E+12
Small states,5.17E+11,5.31E+11,4.52E+11,4.45E+11,4.85E+11
Sao Tome and Principe,302925488.1,348941656.4,318265835.3,347545391.8,375040173.8
Suriname,5145757576,5240606061,4787367928,3166040523,3068766110
Slovak Republic,98723944144,1.01E+11,88457167724,89640741266,95241436352
Slovenia,48401896410,49930685013,43090173062,44651537260,48441722816
Sweden,5.85E+11,5.80E+11,5.04E+11,5.16E+11,5.41E+11
Eswatini,4597702898,4422304977,4073390988,3840677845,4446248678
Sint Maarten (Dutch part),,,,,
Seychelles,1328157609,1343007845,1377495054,1427524565,1503168690
Syrian Arab Republic,,,,,
Turks and Caicos Islands,740776770,823968140,893501650,950357510,962525840
Chad,12949854263,13922223234,10945989472,10090922857,9975692095
East Asia & Pacific (IDA & IBRD countries),1.18E+13,1.27E+13,1.32E+13,1.34E+13,1.46E+13
Europe & Central Asia (IDA & IBRD countries),4.91E+12,4.64E+12,3.62E+12,3.48E+12,3.91E+12
Togo,4320427496,4568900620,4179185205,4483932937,4808043653
Thailand,4.20E+11,4.07E+11,4.01E+11,4.12E+11,4.55E+11
Tajikistan,8448469838,9112544556,7854602392,6952678127,7157865188
Turkmenistan,39197543860,43524210526,35799714286,36180000000,37926285714
Latin America & the Caribbean (IDA & IBRD countries),6.08E+12,6.20E+12,5.29E+12,5.16E+12,5.74E+12
Timor-Leste,5637671700,4041637000,3092624800,2503532100,2487269400
Middle East & North Africa (IDA & IBRD countries),1.61E+12,1.59E+12,1.43E+12,1.44E+12,1.42E+12
Tonga,450686353.7,443911052.3,435438217.3,401109307.4,430174168.7
South Asia (IDA & IBRD),2.36E+12,2.58E+12,2.70E+12,2.92E+12,3.35E+12
Sub-Saharan Africa (IDA & IBRD countries),1.75E+12,1.83E+12,1.66E+12,1.56E+12,1.69E+12
Trinidad and Tobago,27268478565,27615843098,25062893969,22284780327,22474828527
Tunisia,46251061734,47632326088,43173480832,41802653631,39813383484
Turkey,9.51E+11,9.34E+11,8.60E+11,8.64E+11,8.53E+11
Tuvalu,37507514.54,37291841.43,35492333.86,36547419.87,40620557.13
Tanzania,45680532614,49964788814,47378599025,49774021003,53320625959
Uganda,24599550624,27291879819,27102650387,24133664285,25995031850
Ukraine,1.83E+11,1.34E+11,91030959455,93355993629,1.12E+11
Upper middle income,2.16E+13,2.23E+13,2.09E+13,2.08E+13,2.29E+13
Uruguay,57531233351,57236013058,53274304222,52687612262,56488991831
United States,1.68E+13,1.75E+13,1.82E+13,1.87E+13,1.95E+13
Uzbekistan,68997168338,76658542757,81847410182,81779012351,59159945321
St. Vincent and the Grenadines,721207407.4,727714814.8,755400000,774429629.6,792177777.8
"Venezuela, RB",3.71E+11,4.82E+11,,,
British Virgin Islands,,,,,
Virgin Islands (U.S.),3762000000,3622000000,3748000000,3863000000,3855000000
Vietnam,1.71E+11,1.86E+11,1.93E+11,2.05E+11,2.24E+11
Vanuatu,801787555.9,814954307,759689950.9,804332795.6,880043553.7
World,7.72E+13,7.93E+13,7.50E+13,7.62E+13,8.10E+13
Samoa,770021643.6,756919933.5,788307314.9,799376440,831903814.1
Kosovo,7071982209,7386883375,6440067650,6714726770,7227700023
"Yemen, Rep.",40415233436,43228585321,42628328212,30968242968,26818703093
South Africa,3.67E+11,3.51E+11,3.18E+11,2.96E+11,3.50E+11
Zambia,28045460442,27150630607,21243350633,20954754378,25868142077
Zimbabwe,19091020000,19495519600,19963120600,20548678100,22813010116
